Lat,Lon,BS
-38.00246,-59.23983,Bajo
-37.998209,-59.271283,Bajo
-37.852505,-59.287113,Bajo
-38.00441,-59.39744,Bajo
-38.05932,-59.19229,Bajo
-38.00238,-59.25792,Bajo
-35.551491,-60.908421,Bajo
-35.55151,-60.98613,Bajo
-35.53546,-60.83537,Bajo
-35.61511,-60.96698,Bajo
-35.2671,-60.79978,Bajo
-35.68449,-60.82241,Bajo
-35.586632,-60.952492,Bajo
-35.6947,-60.85027,Bajo
-35.714619,-60.867981,Bajo
-35.39972,-61.06621,Bajo
-35.662754,-60.704979,Bajo
-35.41694,-60.88306,Bajo
-35.53609,-60.96995,Bajo
-35.46534,-60.92452,Bajo
-35.37668,-60.81932,Bajo
-35.321678,-60.787102,Bajo
-35.34512,-61.21534,Bajo
-35.477211,-60.923939,Bajo
-35.57678,-60.66831,Bajo
-35.655312,-60.713188,Bajo
-35.46499,-61.03727,Bajo
-35.47432,-60.99189,Bajo
-35.2937,-60.7733,Bajo
-35.428829,-60.936371,Bajo
-35.591621,-60.692478,Bajo
-35.44914,-61.08041,Bajo
-35.7233,-60.92169,Bajo
-35.41565,-60.69456,Bajo
-35.64335,-61.13296,Bajo
-35.284672,-60.748009,Bajo
-35.681751,-60.753792,Bajo
-35.226391,-60.880989,Bajo
-35.35844,-60.723679,Bajo
-35.52912,-60.96177,Bajo
-35.48016,-61.007729,Bajo
-35.465939,-60.925869,Bajo
-35.54135,-60.64271,Bajo
-35.56411,-60.83283,Bajo
-35.35199,-60.844818,Bajo
-35.535511,-61.00436,Bajo
-35.39651,-61.17502,Bajo
-35.66114,-60.729252,Bajo
-35.526482,-60.609589,Bajo
-35.55492,-61.022812,Bajo
-35.688328,-60.846512,Bajo
-35.236961,-60.83514,Bajo
-35.546879,-61.036461,Bajo
-35.51376,-61.01057,Bajo
-35.4095,-61.19994,Bajo
-35.41874,-60.90196,Bajo
-35.54252,-60.92129,Bajo
-35.330139,-60.77187,Bajo
-35.47401,-60.9219,Bajo
-35.65722,-60.73041,Bajo
-35.381699,-61.23634,Bajo
-35.551941,-60.545528,Bajo
-35.55733,-60.71405,Bajo
-35.55896,-60.94976,Bajo
-35.290852,-61.035091,Bajo
-35.53335,-60.55571,Bajo
-35.68802,-60.87263,Bajo
-35.233299,-60.8255,Bajo
-35.42257,-61.42868,Bajo
-35.4199,-60.90711,Bajo
-35.24134,-60.79346,Bajo
-35.397129,-60.995129,Bajo
-35.648502,-60.694912,Bajo
-35.474689,-60.92321,Bajo
-35.538898,-60.55983,Bajo
-35.450718,-60.879219,Bajo
-35.441689,-60.916618,Bajo
-35.526482,-60.98838,Bajo
-36.977348,-61.248718,Bajo
-36.91198,-60.20863,Bajo
-36.932331,-60.314941,Bajo
-36.99378,-60.490723,Bajo
-37.175148,-60.991287,Bajo
-36.927711,-60.308594,Bajo
-36.84956,-60.36665,Bajo
-36.864388,-60.341026,Bajo
-36.893589,-60.366009,Bajo
-36.88484,-60.36354,Bajo
-37.27692,-60.46813,Bajo
-40.46802,-62.62834,Bajo
-40.8587,-62.679871,Bajo
-40.791592,-62.49955,Bajo
-40.23313,-62.61245,Bajo
-40.20925,-62.60236,Bajo
-40.262032,-62.677589,Bajo
-40.07153,-62.49117,Bajo
-40.220951,-62.463818,Bajo
-40.131393,-62.721481,Bajo
-40.7285,-62.955151,Bajo
-40.755062,-62.97339,Bajo
-40.73985,-62.987392,Bajo
-39.995522,-62.516689,Bajo
-40.016312,-62.355221,Bajo
-39.843719,-62.60498,Bajo
-39.635899,-62.675209,Bajo
-39.56672,-62.85802,Bajo
-39.720928,-62.80077,Bajo
-35.84005,-62.04523,Bajo
-36.21667,-61.98588,Bajo
-36.06194,-61.73153,Bajo
-36.0656,-61.75001,Bajo
-36.10471,-61.86377,Bajo
-35.78288,-62.02397,Bajo
-35.936581,-61.9795,Bajo
-35.79966,-61.934731,Bajo
-36.0616,-63.1737,Bajo
-36.216251,-63.093048,Bajo
-36.218849,-63.190079,Bajo
-36.197519,-63.311352,Bajo
-36.246559,-63.241562,Bajo
-36.173748,-63.189504,Bajo
-33.66905,-60.71072,Bajo
-33.68491,-60.49412,Bajo
-33.60477,-60.44765,Bajo
-33.792641,-60.202229,Bajo
-33.660255,-60.771603,Bajo
-33.79922,-60.52292,Bajo
-33.659496,-60.713409,Bajo
